[2025-07-27 01:32:58] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51641 | /127.0.0.1 | ID:21579901
[2025-07-27 01:32:58] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51641 | SERVER | ID:55740063
[2025-07-27 01:34:47] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:66442618
[2025-07-27 01:34:47] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:44496668
[2025-07-27 01:34:49] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:67358758
[2025-07-27 01:34:49] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:60249134
[2025-07-27 01:34:49] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:72592320
[2025-07-27 01:34:49] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:20329023
[2025-07-27 01:34:52] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51647 | /127.0.0.1 | ID:90077631
[2025-07-27 01:34:52] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51647 | SERVER | ID:66429169
[2025-07-27 01:37:01] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:22650318
[2025-07-27 01:37:01] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:91208419
[2025-07-27 01:38:20] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:14483327
[2025-07-27 01:38:20] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:18016416
[2025-07-27 01:38:20] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:60800906
[2025-07-27 01:38:20] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:32803018
[2025-07-27 01:38:23] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51671 | /127.0.0.1 | ID:86644476
